volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 1,Issue 1",Terborgh's asset replacement formula reconsidered,Version of Record online: 20 APR 2010,,LLOYD R. AMEY,,,McGill University,,,,Contemporary Accounting Research
"Volume 1,Issue 1",John Butterworth's pioneering contributions to the accounting and information economics literature,Version of Record online: 20 APR 2010,,GERALD A. FELTHAN,,,University of British Columbia,,,,Contemporary Accounting Research
"Volume 1,Issue 1",On the value and limitations of financial accounting,Version of Record online: 20 APR 2010,,GEORGE J. BENSTON,,,University of Rochester,,,,Contemporary Accounting Research
"Volume 1,Issue 1",La comptabilité - “une des plus belles inventions de l'homme”,Version of Record online: 20 APR 2010,,R.J. CHAMBERS,,,University of Sydney,,,,Contemporary Accounting Research
"Volume 1,Issue 1",Pursuit of an ideal,Version of Record online: 20 APR 2010,,R.J. CHAMBERS,,,University of Sydney,,,,Contemporary Accounting Research
"Volume 1,Issue 1",A Stochastic demand CVP model with return on investment criterion,Version of Record online: 20 APR 2010,,RASHMI B. THAKKAR,DAVID R. FINLEY,WOODY M. LIAO,University of Calgary,University of Houston,University of Houston,,Contemporary Accounting Research
"Volume 1,Issue 1",Accounting - “one of the finest inventions of the human spirit”,Version of Record online: 20 APR 2010,,R.J. CHAMBERS,,,University of Sydney,,,,Contemporary Accounting Research
volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 1,Issue 2",Accounting for equity investments of life insurance companies,Version of Record online: 20 APR 2010,,PHELIM P. BOYLE,,,University of Waterloo,,,,Contemporary Accounting Research
"Volume 1,Issue 2",Auditors and deceptive financial statements: Assigning responsibility and blame,Version of Record online: 20 APR 2010,,JAMES C. GAA,CHARLES H. SMITH,,McMaster University,,University of Illinois,,Contemporary Accounting Research
"Volume 1,Issue 2",Distinguishing the two forms of the constant percentage learning curve model,Version of Record online: 20 APR 2010,,JOYCE T. CHEN,RENE P. MANES,,University of Illinois at Chicago,,Florida State University,,Contemporary Accounting Research
"Volume 1,Issue 2",La comptabilité pour les investissements en actions des compagnies d'assurance-vie,Version of Record online: 20 APR 2010,,PHELIM P. BOYLE,,,University of Waterloo,,,,Contemporary Accounting Research
"Volume 1,Issue 2",Sequential Bayesian Analysis in accounting settings,Version of Record online: 20 APR 2010,,AMIN H. AMERSHI,JOEL S. DEMSKI,JOHN FELLINGHAM,University of British Columbia,University of Texas at Austin,Stanford University,,Contemporary Accounting Research
"Volume 1,Issue 2",The effect of information presentation structures on audit planning and review judgments,Version of Record online: 20 APR 2010,,JEFIM EFRIM BORITZ,,,University of Waterloo,,,,Contemporary Accounting Research
"Volume 2,Issue 1",Of paradigms and metaphors in auditing thought,Version of Record online: 20 APR 2010,,MARK W. DIRSMITH,MARK A. COVALESKI,JOHN P. MCALLISTER,Pennsylvania State University,Saint Bonaventure University,University of Wisconsin,,Contemporary Accounting Research
"Volume 2,Issue 1",Accounting research: 1985,Version of Record online: 20 APR 2010,,JOEL S. DEMSKI,,,Yale University,,,,Contemporary Accounting Research
"Volume 2,Issue 1",Période d'exclusion et paramètres non-stationnaires d'un modèle de marché dans des études de réactions des prix,Version of Record online: 20 APR 2010,,MICHAEL THEOBALD,,,University of Birmingham,,,,Contemporary Accounting Research
"Volume 2,Issue 1","Slack budgeting, information distortion and self-esteem",Version of Record online: 20 APR 2010,,AHMED BELKAOUI,,,The University of Illinois at Chicago,,,,Contemporary Accounting Research
